Jogador,Posição em quadra,Jogo,Min em quadra,Centesimos de minutos,Pontos,Cesta de 3 pts,Cesta de 2 pts,Lances Livres,Rebotes,Rebotes Ofensivos,Rebotes Defensivos,Assistências,Erros,índice de ass. por erro,Arremessos de 3 pts certos,Arremessos de 3 pts tentados,Cesta de 3 (%),Arremessos de 2 pts certos,Arremessos de 2 pts tentados,Arremessos 2 pts convertidos (%),Lances Livres Certos,Lances Livres Tentados,Lances Livres Convertidos (%),Enterradas,Bolas Recuperadas,Índice de bolas recuperadas por erro,Tocos,Faltas Cometidas,índice de tocos por faltas cometidas,Total de erros (soma de erros e violações),Violações,Eficiência,Duplos Duplos,Triplos Duplos
Diego #24,Ala/Pivô,23,19,99,8.22,1.57,3.83,2.83,5.00,5.00,3.70,1.17,1.17,1.00,1.91,0.52,27.27,1.91,3.43,55.70,2.83,3.30,85.53,0.04,01.04,0.89,0.26,3.13,0.08,1.17,0.22,11.13,0.04,0.00
Zach Graham #32,Ala,29,19,92,9.69,3.83,4.14,1.72,1.76,1.76,1.62,1.17,1.55,0.76,3.76,1.28,33.94,02.07,4.21,49.18,1.72,2.31,74.63,0.00,0.38,0.24,0.21,1.28,0.16,1.55,0.31,6.45,0.00,0.00
Doria #7,Pivô,40,19,90,6.00,0.15,4.55,1.30,4.93,4.93,2.78,1.28,1.00,1.28,0.18,0.05,28.57,2.28,4.33,52.60,1.30,1.88,69.33,0.20,0.80,0.80,0.25,2.53,0.10,1.00,0.18,9.50,0.05,0.00
Siewert #23,Pivô,42,19,85,8.74,6.29,1.90,0.55,2.90,2.90,02.07,0.43,0.62,0.69,4.60,2.10,45.60,0.95,1.76,54.05,0.55,0.64,85.19,0.07,0.62,1.00,0.21,2.50,0.09,0.62,0.07,8.88,0.02,0.00
Arthur #4,Ala,14,19,64,6.64,3.21,2.00,1.43,03.07,03.07,2.71,1.36,1.00,1.36,3.21,01.07,33.33,1.00,1.86,53.85,1.43,1.64,86.96,0.00,0.43,0.43,0.00,2.21,0.00,1.00,0.21,7.29,0.00,0.00
Aguirre #7,Armador,37,19,41,5.27,1.86,2.92,0.49,3.11,3.11,2.00,2.95,01.05,2.79,3.46,0.62,17.97,1.46,2.54,57.45,0.49,0.62,78.26,0.00,0.84,0.79,0.03,1.76,0.02,01.05,0.11,07.08,0.03,0.00
Larry #4,Ala/Armador,39,19,38,6.21,3.46,2.31,0.44,1.87,1.87,1.41,1.74,0.64,2.72,3.64,1.15,31.69,1.15,2.54,45.45,0.44,0.64,68.00,0.00,0.67,01.04,0.03,1.28,0.02,0.64,0.05,5.79,0.00,0.00
Jefferson #10,Ala/Pivô,25,19,16,10.40,3.96,4.88,1.56,3.96,3.96,2.80,1.00,1.36,0.74,3.68,1.32,35.87,2.44,5.24,46.56,1.56,02.08,75.00,0.00,0.80,0.59,0.20,1.36,0.15,1.36,0.16,9.32,0.00,0.00
Lupa #18,Pivô,15,18,96,9.20,0.00,6.67,2.53,5.00,5.00,3.13,1.13,1.60,0.71,0.00,0.00,0.00,3.33,6.40,52.08,2.53,3.47,73.08,0.00,0.40,0.25,0.07,2.87,0.02,1.60,0.13,10.20,0.07,0.00
Teichmann #11,Pivô,31,18,86,3.74,0.00,3.48,0.26,4.61,4.61,3.52,3.26,1.74,1.87,0.10,0.00,0.00,1.74,3.26,53.47,0.26,0.74,34.78,0.19,0.94,0.54,0.52,3.16,0.16,1.74,0.06,9.23,0.00,0.00
Martinez #25,Ala/Armador,28,18,75,6.71,4.82,1.00,0.89,3.32,3.32,2.61,1.50,0.71,2.10,4.36,1.61,36.89,0.50,1.18,42.42,0.89,1.14,78.13,0.00,0.71,1.00,0.14,1.71,0.08,0.71,0.00,8.00,0.00,0.00
Cauê #8,Armador,37,18,58,4.65,2.11,2.00,0.54,3.24,3.24,2.70,2.54,0.84,03.03,2.14,0.70,32.91,1.00,2.41,41.57,0.54,0.68,80.00,0.00,0.84,1.00,0.08,2.43,0.03,0.84,0.14,7.54,0.00,0.00
Smith #0,Ala/Armador,28,18,18,9.46,3.32,4.86,1.29,2.11,2.11,0.96,1.32,0.86,1.54,2.54,1.11,43.66,2.43,4.96,48.92,1.29,1.61,80.00,0.07,0.61,0.71,0.00,2.18,0.00,0.86,0.11,8.36,0.00,0.00
Betinho #26,Ala,43,17,86,7.95,2.86,3.49,1.60,2.81,2.81,2.19,1.16,1.00,1.16,2.42,0.95,39.42,1.74,3.53,49.34,1.60,2.19,73.40,0.00,0.79,0.79,0.07,1.91,0.04,1.00,0.05,7.95,0.00,0.00
Márcio #3,Ala/Pivô,47,17,81,08.02,0.83,5.11,02.09,4.11,4.11,2.89,0.68,1.23,0.55,1.17,0.28,23.64,2.55,4.28,59.70,02.09,2.87,72.59,0.38,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Coelho #10,Armador,43,17,68,7.91,2.51,3.35,02.05,2.23,2.23,1.42,2.23,0.93,2.40,2.91,0.84,28.80,1.67,2.70,62.07,02.05,2.74,74.58,0.02,0.65,0.70,0.05,2.63,0.02,0.93,0.14,8.35,0.00,0.00
Ansaloni #22,Pivô,43,17,65,8.16,2.16,4.79,1.21,4.60,4.60,3.60,0.56,0.95,0.59,1.91,0.72,37.80,2.40,3.93,60.95,1.21,1.53,78.79,0.09,0.28,0.29,0.14,2.40,0.06,0.95,0.19,9.74,0.02,0.00
Sena #21,Pivô,27,17,10,8.22,0.33,6.59,1.30,03.07,03.07,2.30,0.78,1.15,0.68,0.89,0.11,12.50,3.30,6.93,47.59,1.30,2.22,58.33,0.56,0.11,0.10,0.33,2.81,0.12,1.15,0.19,06.04,0.00,0.00
