Jogador,Posição em quadra,Jogo,Min em quadra,Centesimos de minutos,Pontos,Cesta de 3 pts,Cesta de 2 pts,Lances Livres,Rebotes,Rebotes Ofensivos,Rebotes Defensivos,Assistências,Erros,índice de ass. por erro,Arremessos de 3 pts certos,Arremessos de 3 pts tentados,Cesta de 3 (%),Arremessos de 2 pts certos,Arremessos de 2 pts tentados,Arremessos 2 pts convertidos (%),Lances Livres Certos,Lances Livres Tentados,Lances Livres Convertidos (%),Enterradas,Bolas Recuperadas,Índice de bolas recuperadas por erro,Tocos,Faltas Cometidas,índice de tocos por faltas cometidas,Total de erros (soma de erros e violações),Violações,Eficiência,Duplos Duplos,Triplos Duplos
Martinez #34,Ala/Pivô,27,25,18,9.63,5.11,3.48,01.04,04.04,04.04,3.22,0.85,0.78,1.10,5.48,1.70,31.08,1.74,03.07,56.63,01.04,1.33,77.78,0.07,0.93,1.19,0.04,2.19,0.02,0.78,0.19,9.30,0.00,0.00
Deryk #3,Armador,34,25,10,8.82,02.03,5.71,01.09,2.47,2.47,1.82,02.03,1.53,1.33,2.62,0.68,25.84,2.85,5.62,50.79,01.09,1.47,74.00,0.00,0.91,0.60,0.03,1.76,0.02,1.53,0.09,7.65,0.00,0.00
Campos #2,Armador,30,25,10,7.67,4.00,2.47,1.20,2.77,2.77,2.13,5.10,2.73,1.87,4.43,1.33,30.08,1.23,3.23,38.14,1.20,1.40,85.71,0.00,01.03,0.38,0.03,0.90,0.04,2.73,0.13,8.57,0.07,0.00
G. Basílio #10,Ala,28,24,93,6.43,2.68,2.71,01.04,3.82,3.82,2.93,1.43,1.21,1.18,3.75,0.89,23.81,1.36,2.82,48.10,01.04,1.46,70.73,0.00,0.71,0.59,0.04,2.39,0.01,1.21,0.25,6.46,0.00,0.00
Ronald #6,Pivô,21,24,90,10.76,0.00,8.48,2.29,8.57,8.57,4.38,0.62,2.00,0.31,0.19,0.00,0.00,4.24,8.24,51.45,2.29,3.62,63.16,0.90,0.33,0.17,0.71,3.10,0.23,2.00,0.19,13.48,0.33,0.00
Marquinhos #11,Ala,18,24,86,9.94,3.33,4.11,2.50,3.78,3.78,3.33,2.00,1.50,1.33,3.22,1.11,34.48,02.06,5.11,40.22,2.50,3.22,77.59,0.11,0.78,0.52,0.17,2.33,0.07,1.50,0.06,9.28,0.00,0.00
Victão #10,Ala/Pivô,40,24,81,9.88,3.98,4.90,1.00,05.08,05.08,3.43,1.25,1.20,01.04,3.48,1.33,38.13,2.45,4.70,52.13,1.00,1.20,83.33,0.23,0.60,0.50,0.28,2.15,0.13,1.20,0.23,11.28,0.00,0.00
Vezaro #10,Ala,42,24,80,8.52,6.21,1.71,0.60,3.45,3.45,2.67,1.36,0.45,3.00,4.48,02.07,46.28,0.86,1.45,59.02,0.60,0.64,92.59,0.00,0.76,1.68,0.07,2.52,0.03,0.45,0.05,10.67,0.00,0.00
Mathias #12,Pivô,34,24,73,9.91,1.32,7.24,1.35,7.91,7.91,6.32,0.47,02.09,0.23,1.15,0.44,38.46,3.62,6.56,55.16,1.35,1.88,71.88,0.32,0.38,0.18,01.03,03.09,0.33,02.09,0.38,13.44,0.26,0.00
Matheusinho #2,Armador,32,24,66,10.63,1.88,6.75,2.00,3.84,3.84,3.22,4.28,2.75,1.56,3.59,0.63,17.39,3.38,7.22,46.75,2.00,3.59,55.65,0.00,1.56,0.57,0.09,2.94,0.03,2.75,0.50,9.25,0.03,0.00
Gabriel Jaú #9,Ala/Pivô,39,24,62,12.56,2.85,7.79,1.92,7.10,7.10,4.77,1.97,2.38,0.83,2.23,0.95,42.53,3.90,5.90,66.09,1.92,03.03,63.56,0.51,0.74,0.31,0.54,2.59,0.21,2.38,0.33,16.15,0.21,0.00
Scala #6,Ala/Armador,45,24,59,08.07,5.40,1.51,1.16,2.27,2.27,1.87,2.67,1.22,2.18,3.91,1.80,46.02,0.76,1.36,55.74,1.16,1.29,89.66,0.00,0.42,0.35,0.00,2.89,0.00,1.22,0.20,9.36,0.00,0.00
Magna #20,Ala/Pivô,35,24,46,7.77,03.09,3.43,1.26,3.66,3.66,2.66,1.23,1.34,0.91,3.14,01.03,32.73,1.71,3.23,53.10,1.26,1.86,67.69,0.00,0.71,0.53,0.17,2.60,0.07,1.34,0.23,7.97,0.00,0.00
Veríssimo #11,Ala,35,24,42,9.49,1.20,6.29,2.00,5.46,5.46,3.97,1.74,1.29,1.36,1.71,0.40,23.33,3.14,5.91,53.14,2.00,2.91,68.63,0.00,1.60,1.24,0.14,2.34,0.06,1.29,0.17,12.14,0.09,0.00
D. Nunes #24,Ala/Pivô,27,24,42,8.59,2.11,5.19,1.30,05.04,05.04,3.33,01.07,1.00,01.07,2.37,0.70,29.69,2.59,4.67,55.56,1.30,1.59,81.40,0.15,0.63,0.63,0.52,1.96,0.26,1.00,0.07,10.81,0.07,0.00
