Jogadores,Jogo,Min em quadra,Pontos,Cesta de 3 pts,Cesta de 2 pts,Lances Livres,Rebotes,Rebotes Ofensivos,Rebotes Defensivos,Assistências,Erros,índice de ass. por erro,Arremessos de 3 pts certos,Arremessos de 3 pts tentados,Cesta de 3 (%),Arremessos de 2 pts certos,Arremessos de 2 pts tentados,Arremessos 2 pts convertidos (%),Lances Livres Certos,Lances Livres Tentados,Lances Livres Convertidos (%),Enterradas,Bolas Recuperadas,Erros,Índice de bolas recuperadas por erro,Tocos,Faltas Cometidas,índice de tocos por faltas cometidas,Total de erros (soma de erros e violações),Violações,Erros,Eficiência,Pontos,Rebotes,Assistência,Bolas Recuperadas ,Tocos,Eficiência,Pontos,Rebotes,Assistências,Bolas Recuperadas,Tocos,Duplos Duplos,Triplos Duplos
Figueredo #91,35,30.15,14.23,7.29,4.69,2.26,04.03,04.03,3.43,6.37,2.60,2.45,06.06,2.43,40.09,2.34,4.43,52.90,2.26,2.66,84.95,0.00,1.00,2.60,0.38,0.14,2.14,0.07,2.60,0.26,2.60,17.06,14.23,04.03,6.37,1.00,0.14,17.06,14.23,04.03,6.37,1.00,0.14,0.11,0.00
Simms #1,31,33.04,13.97,6.68,3.94,3.35,3.58,3.58,03.03,1.61,1.58,01.02,6.29,2.23,35.38,1.97,4.48,43.88,3.35,4.13,81.25,0.32,1.35,1.58,0.86,0.16,1.55,0.10,1.58,0.23,1.58,11.74,13.97,3.58,1.61,1.35,0.16,11.74,13.97,3.58,1.61,1.35,0.16,0.00,0.00
David Jackson #32,47,30.13,13.81,3.70,7.57,2.53,04.02,04.02,3.21,3.15,01.06,2.96,2.83,1.23,43.61,3.79,6.45,58.75,2.53,2.85,88.81,0.00,0.94,01.06,0.88,0.09,1.87,0.05,01.06,0.15,01.06,16.36,13.81,04.02,3.15,0.94,0.09,16.36,13.81,04.02,3.15,0.94,0.09,0.00,0.00
Bennett #3,44,29.00,13.59,1.36,9.77,2.45,2.66,2.66,1.84,2.82,1.36,02.07,1.73,0.45,26.32,4.89,7.57,64.56,2.45,03.07,80.00,0.00,01.07,1.36,0.78,0.02,2.27,0.01,1.36,0.20,1.36,14.23,13.59,2.66,2.82,01.07,0.02,14.23,13.59,2.66,2.82,01.07,0.02,0.00,0.00
Dos Santos #0,20,29.19,13.55,3.30,7.70,2.55,6.35,6.35,4.45,1.55,2.55,0.61,3.00,1.10,36.67,3.85,7.20,53.47,2.55,4.30,59.30,0.60,01.05,2.55,0.41,0.45,3.45,0.13,2.55,0.55,2.55,13.40,13.55,6.35,1.55,01.05,0.45,13.40,13.55,6.35,1.55,01.05,0.45,0.10,0.00
Aguerre #27,28,27.85,13.36,5.89,5.71,1.75,5.46,5.46,04.04,1.71,1.61,01.07,4.54,1.96,43.31,2.86,5.25,54.42,1.75,2.36,74.24,0.32,0.93,1.61,0.58,0.79,1.86,0.42,1.61,0.54,1.61,15.07,13.36,5.46,1.71,0.93,0.79,15.07,13.36,5.46,1.71,0.93,0.79,0.00,0.00
Alexey #4,38,28.40,13.32,4.97,5.68,2.66,4.39,4.39,3.68,6.45,2.16,2.99,3.84,1.66,43.15,2.84,4.82,59.02,2.66,3.24,82.11,0.00,01.08,2.16,0.50,0.05,1.89,0.03,2.16,0.26,2.16,18.39,13.32,4.39,6.45,01.08,0.05,18.39,13.32,4.39,6.45,01.08,0.05,0.13,0.00
Rashaun #17,29,30.30,13.24,9.10,2.21,1.93,4.34,4.34,3.83,1.86,1.72,01.08,7.90,03.03,38.43,1.10,2.24,49.23,1.93,2.38,81.16,0.03,0.79,1.72,0.46,0.14,2.72,0.05,1.72,0.28,1.72,12.21,13.24,4.34,1.86,0.79,0.14,12.21,13.24,4.34,1.86,0.79,0.14,0.07,0.00
Enzo #30,16,29.50,13.13,7.88,3.25,2.00,4.50,4.50,3.56,2.50,1.50,1.67,7.50,2.63,35.00,1.63,3.50,46.43,2.00,2.50,80.00,0.00,0.75,1.50,0.50,0.06,2.38,0.03,1.50,0.13,1.50,12.19,13.13,4.50,2.50,0.75,0.06,12.19,13.13,4.50,2.50,0.75,0.06,0.06,0.00
Alex #10,37,30.91,13.11,5.92,5.30,1.89,4.86,4.86,4.32,4.41,2.14,02.06,5.95,1.97,33.18,2.65,4.59,57.65,1.89,2.70,70.00,0.03,1.24,2.14,0.58,0.19,2.65,0.07,2.14,0.16,2.14,14.95,13.11,4.86,4.41,1.24,0.19,14.95,13.11,4.86,4.41,1.24,0.19,0.05,0.00
