,jogadores,jogo,min_em_quadra,pontos,cesta_de_3_pts,cesta_de_2_pts,lances_livres,rebotes,rebotes_ofensivos,rebotes_defensivos,assistências,erros,índice_de_ass,arremessos_de_3_pts_certos,arremessos_de_3_pts_tentados,cesta_de_3_(%),arremessos_de_2_pts_certos,arremessos_de_2_pts_tentados,arremessos_2_pts_convertidos_(%),lances_livres_certos,lances_livres_tentados,lances_livres_convertidos_(%),enterradas,bolas_recuperadas,índice_de_bolas_recuperadas_por_erro,tocos,faltas_cometidas,índice_de_tocos_por_faltas_cometidas,total_de_erros_(soma_de_erros_e_violações),violações,eficiência,assistência,bolas_recuperadas_,duplos_duplos,triplos_duplos,total_min
181,Omena #16,4,10.14,2.0,1.5,0.5,0.0,0.25,0.25,0.25,1.25,0.25,5.0,1.75,0.5,28.57,0.25,0.5,50.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.75,0.0,0.25,0.0,2.0,1.25,0.25,0.0,0.0,40.56
182,Lucas M. #10,6,6.77,2.0,0.0,1.67,0.33,0.33,0.33,0.33,1.33,0.67,2.0,1.0,0.0,0.0,0.83,1.33,62.5,0.33,0.33,100.0,0.0,0.5,0.75,0.0,2.33,0.0,0.67,0.17,2.0,1.33,0.5,0.0,0.0,40.62
183,Queirós #3,31,8.0,1.94,1.35,0.39,0.19,1.16,1.16,0.81,0.1,0.13,0.75,2.03,0.45,22.22,0.19,0.48,40.0,0.19,0.23,85.71,0.03,0.03,0.25,0.03,1.06,0.03,0.13,0.0,1.23,0.1,0.03,0.0,0.0,248.0
184,Vilarinho #4,21,8.77,1.9,1.57,0.29,0.05,0.48,0.48,0.33,0.67,0.81,0.82,2.1,0.52,25.0,0.14,0.71,20.0,0.05,0.1,50.0,0.0,0.29,0.35,0.05,1.0,0.05,0.81,0.24,0.38,0.67,0.29,0.0,0.0,184.17
185,Lelê #9,9,7.09,1.89,0.67,1.11,0.11,0.89,0.89,0.44,0.56,0.11,5.0,0.89,0.22,25.0,0.56,1.56,35.71,0.11,0.33,33.33,0.0,0.08,0.5,0.0,1.22,0.0,0.17,0.0,1.33,0.56,0.0,0.0,0.0,63.81
186,Pedro Nunes #10,8,9.03,1.88,0.0,1.75,0.13,2.38,2.38,1.63,0.63,0.5,1.25,0.13,0.0,0.0,0.88,1.5,58.33,0.13,0.63,20.0,0.0,0.25,0.5,0.25,0.75,0.33,0.5,0.0,3.63,0.63,0.25,0.0,0.0,72.24
187,Motta #9,23,10.81,1.87,0.39,1.3,0.17,1.91,1.91,1.52,0.39,0.83,0.47,1.09,0.13,12.0,0.65,1.61,40.54,0.17,0.48,36.36,0.0,0.39,0.47,0.09,1.09,0.08,0.83,0.17,1.61,0.39,0.39,0.0,0.0,248.63000000000002
188,Mitchell #4,5,7.47,1.8,0.0,1.6,0.2,0.6,0.6,0.6,0.8,0.6,1.33,0.8,0.0,0.0,0.8,1.8,44.44,0.2,0.8,25.0,0.0,0.8,1.33,0.0,1.0,0.0,0.6,0.2,1.0,0.8,0.8,0.0,0.0,37.35
189,Gabriel #7,26,7.89,1.77,1.04,0.46,0.27,0.54,0.54,0.46,0.19,0.58,0.33,1.35,0.35,25.71,0.23,0.85,27.27,0.27,0.38,70.0,0.08,0.27,0.47,0.12,1.19,0.1,0.58,0.27,0.58,0.19,0.27,0.0,0.0,205.14
190,M. Bonfim #19,34,7.15,1.74,0.35,1.24,0.15,1.44,1.44,0.85,0.24,0.53,0.44,0.5,0.12,23.53,0.62,1.26,48.84,0.15,0.35,41.67,0.21,0.21,0.39,0.38,1.18,0.33,0.53,0.18,2.24,0.24,0.21,0.0,0.0,243.10000000000002
191,Maciel #17,20,4.34,1.65,0.45,1.0,0.2,0.8,0.8,0.55,0.1,0.25,0.4,0.6,0.15,25.0,0.5,0.7,71.43,0.2,0.2,100.0,0.05,0.1,0.4,0.1,0.8,0.13,0.25,0.05,1.85,0.1,0.1,0.0,0.0,86.8
192,Nathan Fernandes #34,21,4.26,1.52,0.57,0.86,0.1,1.38,1.38,1.1,0.24,0.38,0.63,0.52,0.19,36.36,0.43,0.62,69.23,0.1,0.19,50.0,0.1,0.24,0.63,0.14,0.62,0.23,0.38,0.0,2.52,0.24,0.24,0.0,0.0,89.46
193,Arthur #26,2,3.88,1.5,1.5,0.0,0.0,1.5,1.5,1.5,0.0,0.0,1.0,0.5,0.5,100.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,7.76
194,G. Servelin #3,27,8.62,1.41,0.22,0.89,0.3,1.22,1.22,0.78,0.3,0.37,0.8,0.48,0.07,15.38,0.44,0.89,50.0,0.3,0.48,61.54,0.0,0.41,1.1,0.0,1.19,0.0,0.37,0.0,1.93,0.3,0.41,0.0,0.0,232.73999999999998
195,Agapy #33,15,4.82,1.4,0.0,1.07,0.33,1.87,1.87,1.0,0.2,0.33,0.6,0.2,0.0,0.0,0.53,1.07,50.0,0.33,0.67,50.0,0.13,0.2,0.6,0.33,1.0,0.33,0.33,0.07,2.6,0.2,0.2,0.0,0.0,72.30000000000001
196,Alexandrino #13,8,5.65,1.38,0.0,1.0,0.38,1.38,1.38,0.25,0.13,0.5,0.25,0.0,0.0,0.0,0.5,1.25,40.0,0.38,0.75,50.0,0.13,0.13,0.25,0.13,1.38,0.09,0.5,0.0,1.5,0.13,0.13,0.0,0.0,45.2
197,Ruiz #15,32,14.92,1.38,0.0,1.06,0.31,4.84,4.84,3.13,0.66,0.84,0.78,0.03,0.0,0.0,0.53,1.19,44.74,0.31,0.59,52.63,0.0,0.34,0.41,0.44,2.5,0.18,0.84,0.13,5.84,0.66,0.34,0.0,0.0,477.44
198,John #12,11,5.55,1.36,1.36,0.0,0.0,0.36,0.36,0.36,0.27,0.27,1.0,1.45,0.45,31.25,0.0,0.27,0.0,0.0,0.18,0.0,0.0,0.09,0.33,0.0,0.45,0.0,0.27,0.0,0.36,0.27,0.09,0.0,0.0,61.05
199,Alexei Patrício #19,31,6.85,1.35,0.19,0.97,0.19,1.16,1.16,1.16,1.0,0.58,1.72,0.42,0.06,15.38,0.48,1.23,39.47,0.19,0.42,46.15,0.0,0.1,0.17,0.03,1.23,0.03,0.58,0.03,1.74,1.0,0.1,0.0,0.0,212.35
200,Yuri #27,15,2.99,1.33,1.2,0.0,0.13,0.87,0.87,0.8,0.13,0.2,0.67,0.73,0.4,54.55,0.0,0.0,0.0,0.13,0.13,100.0,0.0,0.07,0.33,0.0,0.33,0.0,0.2,0.0,1.87,0.13,0.07,0.0,0.0,44.85
201,Edu Marília #11,34,5.74,1.26,0.62,0.29,0.35,1.09,1.09,0.85,0.0,0.18,0.0,0.82,0.21,25.0,0.15,0.44,33.33,0.35,0.38,92.31,0.03,0.09,0.5,0.09,1.35,0.07,0.18,0.0,1.41,0.0,0.09,0.0,0.0,195.16
202,Caldeira #6,4,1.66,1.25,0.75,0.5,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.25,0.25,100.0,0.25,0.25,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.25,0.5,0.0,0.0,0.0,6.64
203,Igor #16,4,2.83,1.25,0.0,1.0,0.25,0.25,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.75,66.67,0.25,0.5,50.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.25,0.5,0.0,0.0,0.0,0.0,11.32
204,Lelê #9,9,7.09,1.89,0.67,1.11,0.11,0.89,0.89,0.44,0.56,0.11,5.0,0.89,0.22,25.0,0.56,1.56,35.71,0.11,0.33,33.33,0.0,0.08,0.5,0.0,1.22,0.0,0.17,0.0,1.33,0.56,0.0,0.0,0.0,63.81
205,Paulo Zu #30,24,6.62,1.21,0.38,0.67,0.17,0.33,0.33,0.25,0.5,0.38,1.33,0.75,0.13,16.67,0.33,0.58,57.14,0.17,0.21,80.0,0.08,0.17,0.44,0.0,0.54,0.0,0.38,0.13,0.92,0.5,0.17,0.0,0.0,158.88
206,João Marcos #2,15,2.85,1.2,0.0,0.93,0.27,0.47,0.47,0.33,0.0,0.47,0.0,0.13,0.0,0.0,0.47,0.6,77.78,0.27,0.4,66.67,0.07,0.0,0.0,0.0,0.53,0.0,0.47,0.0,0.8,0.0,0.0,0.0,0.0,42.75
207,Vitor Borges #28,17,7.76,1.18,0.0,1.06,0.12,1.29,1.29,1.06,0.06,0.41,0.14,0.0,0.0,0.0,0.53,1.0,52.94,0.12,0.53,22.22,0.06,0.24,0.57,0.24,1.59,0.15,0.41,0.12,1.71,0.06,0.24,0.0,0.0,131.92
208,Brayan #17,1,2.78,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.78
209,Gui Bento #7,2,5.58,1.0,0.0,1.0,0.0,1.5,1.5,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,11.16
210,Raymundo #17,2,2.42,1.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.84
211,Breno #23,6,3.3,1.0,0.0,1.0,0.0,0.83,0.83,0.33,0.0,0.5,0.0,0.17,0.0,0.0,0.5,0.67,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.5,0.17,1.0,0.0,0.0,0.0,0.0,19.799999999999997
212,Colina #88,7,2.22,1.0,0.43,0.57,0.0,0.29,0.29,0.14,0.29,0.0,1.0,0.29,0.14,50.0,0.29,0.57,50.0,0.0,0.0,0.0,0.0,0.14,1.0,0.0,0.14,0.0,0.0,0.0,1.29,0.29,0.14,0.0,0.0,15.540000000000001
213,Augusto #13,18,5.04,0.94,0.0,0.56,0.39,1.0,1.0,0.61,0.11,0.22,0.5,0.0,0.0,0.0,0.28,0.94,29.41,0.39,0.61,63.64,0.0,0.11,0.5,0.06,0.28,0.2,0.22,0.0,1.11,0.11,0.11,0.0,0.0,90.72
214,Emanuel #9,14,3.4,0.93,0.21,0.57,0.14,1.0,1.0,0.64,0.14,0.29,0.5,0.43,0.07,16.67,0.29,0.43,66.67,0.14,0.29,50.0,0.14,0.0,0.0,0.0,0.57,0.0,0.29,0.14,1.14,0.14,0.0,0.0,0.0,47.6
215,Samuel #7,11,5.13,0.91,0.0,0.55,0.36,1.73,1.73,0.73,0.45,0.18,2.5,0.0,0.0,0.0,0.27,0.45,60.0,0.36,0.73,50.0,0.0,0.09,0.5,0.0,0.64,0.0,0.18,0.0,2.45,0.45,0.09,0.0,0.0,56.43
216,Ivan Neto #23,10,3.92,0.9,0.0,0.6,0.3,0.3,0.3,0.2,0.2,0.3,0.67,0.5,0.0,0.0,0.3,0.5,60.0,0.3,0.4,75.0,0.1,0.1,0.33,0.0,0.8,0.0,0.3,0.1,0.4,0.2,0.1,0.0,0.0,39.2
217,Capela #5,5,3.83,0.8,0.0,0.8,0.0,0.2,0.2,0.2,0.6,0.4,1.5,0.2,0.0,0.0,0.4,1.0,40.0,0.0,0.6,0.0,0.0,0.4,1.0,0.0,0.8,0.0,0.4,0.0,0.2,0.6,0.4,0.0,0.0,19.15
218,Lucas #9,4,1.06,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.25,50.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0,4.24
219,Kaique #4,13,5.52,0.69,0.23,0.46,0.0,0.38,0.38,0.31,0.23,0.38,0.6,0.69,0.08,11.11,0.23,1.0,23.08,0.0,0.23,0.0,0.0,0.08,0.2,0.0,1.69,0.0,0.38,0.15,-0.62,0.23,0.08,0.0,0.0,71.75999999999999
220,Daniel #21,3,4.71,0.67,0.0,0.67,0.0,1.0,1.0,1.0,0.0,0.33,0.0,1.0,0.0,0.0,0.33,0.33,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.33,0.0,0.33,0.0,0.0,0.0,0.0,14.129999999999999
221,Dida #22,18,6.19,0.67,0.0,0.44,0.22,1.33,1.33,1.06,0.28,0.67,0.42,0.0,0.0,0.0,0.22,0.28,80.0,0.22,0.28,80.0,0.0,0.17,0.25,0.06,1.44,0.04,0.67,0.11,1.72,0.28,0.17,0.0,0.0,111.42
222,Bruno #21,5,0.64,0.6,0.6,0.0,0.0,0.2,0.2,0.2,0.0,0.0,1.0,0.2,0.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,3.2
223,Murilo #7,5,3.25,0.6,0.0,0.4,0.2,0.2,0.2,0.2,0.0,0.0,1.0,0.2,0.0,0.0,0.2,0.4,50.0,0.2,0.4,50.0,0.0,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,16.25
224,Pedrão #6,2,1.88,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.0,50.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,3.76
225,Gueiros #8,5,2.01,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.2,0.4,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,10.049999999999999
226,Evandro #1,5,2.87,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.6,33.33,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.350000000000001
227,Lucas #7,13,3.0,0.38,0.0,0.15,0.23,0.15,0.15,0.08,0.08,0.0,1.0,0.0,0.0,0.0,0.08,0.08,100.0,0.23,0.46,50.0,0.0,0.0,1.0,0.0,0.46,0.0,0.0,0.0,0.38,0.08,0.0,0.0,0.0,39.0
228,Rocha #8,6,1.39,0.33,0.0,0.0,0.33,0.0,0.0,0.0,0.17,0.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,100.0,0.0,0.0,0.0,0.0,0.33,0.0,0.17,0.0,0.33,0.17,0.0,0.0,0.0,8.34
229,Vitinho #1,15,3.75,0.27,0.0,0.27,0.0,0.53,0.53,0.4,0.27,0.27,1.0,0.2,0.0,0.0,0.13,0.33,40.0,0.0,0.0,0.0,0.07,0.2,0.75,0.0,0.2,0.0,0.27,0.0,0.6,0.27,0.2,0.0,0.0,56.25
230,Léo Abreu #13,8,3.76,0.25,0.0,0.25,0.0,0.25,0.25,0.25,1.13,0.25,4.5,0.25,0.0,0.0,0.13,0.88,14.29,0.0,0.0,0.0,0.0,0.13,0.5,0.0,0.75,0.0,0.25,0.0,0.5,1.13,0.13,0.0,0.0,30.08
231,Contreras #5,1,2.78,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.78
232,Speranzini #8,1,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
233,Fernando #5,1,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92
234,João Paulo #24,1,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.27
235,Raviery #7,1,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58
236,Barbosa #11,1,3.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,3.93
237,Jamelao #99,1,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.63
238,J.V. Martins #12,1,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52
239,Danilo #4,1,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33
240,Calderon #6,1,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05
241,Enrico #15,1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
242,P. Ruan #3,1,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73
243,Samuel #12,2,2.63,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26
244,Felipão #0,2,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,-0.5,0.0,0.0,0.0,0.0,1.7
245,Garcia #15,2,1.02,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2.04
246,Dalaqua #8,2,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38
247,Luís Piá #13,2,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
248,Caio #3,2,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,3.02
249,Motta #0,3,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,2.0,0.0,0.0,1.0,0.33,0.0,-0.33,0.33,0.67,0.0,0.0,6.18
250,João Mini #1,3,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,0.33,-0.67,0.0,0.0,0.0,0.0,5.22
251,Paschoal #8,4,3.08,0.0,0.0,0.0,0.0,0.5,0.5,0.25,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.25,-0.5,0.0,0.0,0.0,0.0,12.32
252,Gusthavo S #6,12,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.17,0.0,0.0,0.17,0.0,0.0,0.08,1.0,0.0,0.17,0.0,0.0,0.0,-0.5,0.0,0.08,0.0,0.0,16.44
253,Thiago #20,13,2.1,0.0,0.0,0.0,0.0,0.23,0.23,0.23,0.0,0.31,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.08,0.0,0.31,0.08,-0.15,0.0,0.08,0.0,0.0,27.3
