Munícipio,janeiro,fevereiro,março,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro,,
Guariba,0,1,0,0,0,0,0,0,0,0,0,0,-21.3594,-48.2316
Brotas,0,0,1,0,0,0,0,0,0,0,0,0,-22.2795,-48.1251
Telêmaco Borba,0,0,1,0,0,0,0,0,0,0,0,0,-24.3245,-50.6176
Rio das Ostras,1,1,1,0,0,0,0,0,0,0,0,0,-22.5174,-41.9475
Vitória da Conquista,0,0,0,1,0,0,0,0,0,0,0,0,-14.8615,-40.8442
Ouro Preto,0,0,0,1,0,0,0,0,0,0,0,0,-20.3796,-43.512
Formiga,0,0,0,1,0,0,0,0,0,0,0,0,-20.4618,-45.4268
Ponta Grossa,0,0,0,1,0,0,0,0,0,0,0,0,-25.0916,-50.1668
Teófilo Otoni,0,0,0,1,1,1,0,0,0,0,0,0,-17.8595,-41.5087
Diamantina,0,0,0,1,1,1,0,0,0,0,0,0,-18.2413,-43.6031
Coronel Fabriciano,0,0,0,1,1,1,0,0,0,0,0,0,-19.5179,-42.6276
Divinópolis,0,0,0,1,1,1,0,0,0,0,0,0,-20.1446,-44.8912
Itabira,0,0,0,1,1,1,0,0,0,0,0,0,-19.6239,-43.2312
Manhuaçu,0,0,0,1,1,1,0,0,0,0,0,0,-20.2572,-42.028
Montes Claros,0,0,0,1,1,1,0,0,0,0,0,0,-16.7282,-43.8578
Passos,0,0,0,1,1,1,0,0,0,0,0,0,-20.7193,-46.609
Pedra Azul,0,0,0,1,1,1,0,0,0,0,0,0,-16.0086,-41.2909
Ponte Nova,0,0,0,1,1,1,0,0,0,0,0,0,-20.4111,-42.8978
Pouso Alegre,0,0,1,1,1,1,0,0,0,0,0,0,-22.2266,-45.9389
São João del-Rei,0,0,0,1,1,1,0,0,0,0,0,0,-21.1311,-44.2526
Sete Lagoas,0,0,0,1,1,1,0,0,0,0,0,0,-19.4569,-44.2413
Ubá,0,0,0,1,1,1,0,0,0,0,0,0,-21.1204,-42.9359
Uberaba,0,0,0,1,1,1,0,0,0,0,0,0,-19.7472,-47.9381
Varginha,0,0,0,1,1,1,0,0,0,0,0,0,-19.7006,-44.556
Franca ,0,0,0,0,0,0,0,0,1,0,0,0,-20.5352,-47.4039
Santana do Livramento,0,0,0,0,0,0,0,0,0,1,0,0,-30.876084,-55.51525
Blumenau,0,0,0,0,0,1,0,0,0,0,0,0,-26.9155,-49.0709
Porto Velho,0,0,0,0,0,0,1,0,0,0,0,0,-8.76077,-63.8999
Natal,0,0,0,0,0,0,0,1,0,0,0,0,-5.79357,-35.1986
Macaíba,0,0,0,0,0,0,0,1,0,0,0,0,-5.85229,-35.3552
Criciúma,0,0,0,0,0,0,0,0,1,0,0,0,-28.6723,-49.3729
Chapecó,0,0,0,0,0,0,0,0,1,1,0,0,-27.1004,-52.6152
Sarapinga,0,0,0,0,0,0,0,0,0,1,0,0,-29.6349,-51.0064
Ourinhos,0,0,0,0,1,0,0,0,0,0,1,0,-22.9797,-49.8697
Santos,0,0,0,0,0,0,0,0,0,0,1,0,-23.9535,-46.335
