,nome,estado,latitude,longitude
5011,Serra Preta,29,-12.156,-39.3305
5012,Serra Redonda,25,-7.18622,-35.6842
5013,Serra Talhada,26,-7.98178,-38.289
5014,Serrana,35,-21.2043,-47.5952
5015,Serrania,31,-21.5441,-46.0417
5016,Serrano do Maranhão,21,-1.85229,-45.1207
5017,Serranópolis,52,-18.3067,-51.9586
5018,Serranópolis de Minas,31,-15.8176,-42.8732
5019,Serranópolis do Iguaçu,41,-25.3799,-54.0518
5020,Serranos,31,-21.8857,-44.5125
5021,Serraria,25,-6.81569,-35.6282
5022,Serrinha,24,-6.28181,-35.5
5023,Serrinha,29,-11.6584,-39.01
5024,Serrinha dos Pintos,24,-6.11087,-37.9548
5025,Serrita,26,-7.94041,-39.2951
5026,Serro,31,-18.5991,-43.3744
5027,Serrolândia,29,-11.4085,-40.2983
5028,Sertaneja,41,-23.0361,-50.8317
5029,Sertânia,26,-8.06847,-37.2684
5030,Sertanópolis,41,-23.0571,-51.0399
5031,Sertão,43,-27.9798,-52.2588
5032,Sertão Santana,43,-30.4562,-51.6017
5033,Sertãozinho,35,-21.1316,-47.9875
5034,Sertãozinho,25,-6.75127,-35.4372
5035,Sete Barras,35,-24.382,-47.9279
5036,Sete de Setembro,43,-28.1362,-54.4637
5037,Sete Lagoas,31,-19.4569,-44.2413
5038,Sete Quedas,50,-23.9705,-55.0398
5039,Setubinha,31,-17.6002,-42.1587
5040,Severiano de Almeida,43,-27.4362,-52.1217
5041,Severiano Melo,24,-5.77666,-37.957
5042,Severínia,35,-20.8108,-48.8054
5043,Siderópolis,42,-28.5955,-49.4314
5044,Sidrolândia,50,-20.9302,-54.9692
5045,Sigefredo Pacheco,22,-4.91665,-41.7311
5046,Silva Jardim,33,-22.6574,-42.3961
5047,Silvânia,52,-16.66,-48.6083
5048,Silvanópolis,17,-11.1471,-48.1694
5049,Silveira Martins,43,-29.6467,-53.591
5050,Silveirânia,31,-21.1615,-43.2128
5051,Silveiras,35,-22.6638,-44.8522
5052,Silves,13,-2.81748,-58.248
5053,Silvianópolis,31,-22.0274,-45.8385
5054,Simão Dias,28,-10.7387,-37.8097
5055,Simão Pereira,31,-21.964,-43.3088
5056,Simões,22,-7.59109,-40.8137
5057,Simões Filho,29,-12.7866,-38.4029
5058,Simolândia,52,-14.4644,-46.4847
5059,Simonésia,31,-20.1341,-42.0091
5060,Simplício Mendes,22,-7.85294,-41.9075
5061,Sinimbu,43,-29.5357,-52.5304
5062,Sinop,51,-11.8604,-55.5091
5063,Siqueira Campos,41,-23.6875,-49.8304
5064,Sirinhaém,26,-8.58778,-35.1126
5065,Siriri,28,-10.5965,-37.1131
5066,Sítio d'Abadia,52,-14.7992,-46.2506
5067,Sítio do Mato,29,-13.0801,-43.4689
5068,Sítio do Quinto,29,-10.3545,-38.2213
5069,Sítio Novo,21,-5.87601,-46.7033
5070,Sítio Novo,24,-6.11132,-35.909
5071,Sítio Novo do Tocantins,17,-5.6012,-47.6381
5072,Sobradinho,29,-9.45024,-40.8145
5073,Sobradinho,43,-29.4194,-53.0326
5074,Sobrado,25,-7.14429,-35.2357
5075,Sobral,23,-3.68913,-40.3482
5076,Sobrália,31,-19.2345,-42.0998
5077,Socorro,35,-22.5903,-46.5251
5078,Socorro do Piauí,22,-7.86773,-42.4922
5079,Solânea,25,-6.75161,-35.6636
5080,Soledade,25,-7.05829,-36.3668
5081,Soledade,43,-28.8306,-52.5131
5082,Soledade de Minas,31,-22.0554,-45.0464
5083,Solidão,26,-7.59472,-37.6445
5084,Solonópole,23,-5.71894,-39.0107
5085,Sombrio,42,-29.108,-49.6328
5086,Sonora,50,-17.5698,-54.7551
5087,Sooretama,32,-19.1897,-40.0974
5088,Sorocaba,35,-23.4969,-47.4451
5089,Sorriso,51,-12.5425,-55.7211
5090,Sossêgo,25,-6.77067,-36.2538
5091,Soure,15,-0.73032,-48.5015
5092,Sousa,25,-6.75148,-38.2311
5093,Souto Soares,29,-12.088,-41.6427
5094,Sucupira,17,-11.993,-48.9685
5095,Sucupira do Norte,21,-6.47839,-44.1919
5096,Sucupira do Riachão,21,-6.40858,-43.5455
5097,Sud Mennucci,35,-20.6872,-50.9238
5098,Sul Brasil,42,-26.7351,-52.964
5099,Sulina,41,-25.7066,-52.7299
5100,Sumaré,35,-22.8204,-47.2728
5101,Sumé,25,-7.66206,-36.884
5102,Sumidouro,33,-22.0485,-42.6761
5103,Surubim,26,-7.84746,-35.7481
5104,Sussuapara,22,-7.03687,-41.3767
5105,Suzanápolis,35,-20.4981,-51.0268
5106,Suzano,35,-23.5448,-46.3112
5107,Tabaí,43,-29.643,-51.6823
5108,Tabaporã,51,-11.3007,-56.8312
5109,Tabapuã,35,-20.9602,-49.0307
5110,Tabatinga,35,-21.7239,-48.6896
5111,Tabatinga,13,-4.2416,-69.9383
5112,Tabira,26,-7.58366,-37.5377
5113,Taboão da Serra,35,-23.6019,-46.7526
5114,Tabocas do Brejo Velho,29,-12.7026,-44.0075
5115,Taboleiro Grande,24,-5.91948,-38.0367
5116,Tabuleiro,31,-21.3632,-43.2381
5117,Tabuleiro do Norte,23,-5.24353,-38.1282
5118,Tacaimbó,26,-8.30867,-36.3
5119,Tacaratu,26,-9.09798,-38.1504
5120,Taciba,35,-22.3866,-51.2882
5121,Tacima,25,-6.48759,-35.6367
5122,Tacuru,50,-23.636,-55.0141
5123,Taguaí,35,-23.4452,-49.4024
5124,Taguatinga,17,-12.4026,-46.437
5125,Taiaçu,35,-21.1431,-48.5112
5126,Tailândia,15,-2.94584,-48.9489
5127,Taió,42,-27.121,-49.9942
5128,Taiobeiras,31,-15.8106,-42.2259
5129,Taipas do Tocantins,17,-12.1873,-46.9797
5130,Taipu,24,-5.63058,-35.5918
5131,Taiúva,35,-21.1223,-48.4528
5132,Talismã,17,-12.7949,-49.0896
5133,Tamandaré,26,-8.75665,-35.1033
5134,Tamarana,41,-23.7204,-51.0991
5135,Tambaú,35,-21.7029,-47.2703
5136,Tamboara,41,-23.2036,-52.4743
5137,Tamboril,23,-4.83136,-40.3196
5138,Tamboril do Piauí,22,-8.40937,-42.9211
5139,Tanabi,35,-20.6228,-49.6563
5140,Tangará,24,-6.19649,-35.7989
5141,Tangará,42,-27.0996,-51.2473
5142,Tangará da Serra,51,-14.6229,-57.4933
5143,Tanguá,33,-22.7423,-42.7202
5144,Tanhaçu,29,-14.0197,-41.2473
5145,Tanque d'Arca,27,-9.53379,-36.4366
5146,Tanque do Piauí,22,-6.59787,-42.2795
5147,Tanque Novo,29,-13.5485,-42.4934
5148,Tanquinho,29,-11.968,-39.1033
5149,Taparuba,31,-19.7621,-41.608
5150,Tapauá,13,-5.62085,-63.1808
5151,Tapejara,41,-23.7315,-52.8735
5152,Tapejara,43,-28.0652,-52.0097
5153,Tapera,43,-28.6277,-52.8613
5154,Taperoá,29,-13.5321,-39.1009
5155,Taperoá,25,-7.20629,-36.8245
5156,Tapes,43,-30.6683,-51.3991
5157,Tapira,41,-23.3193,-53.0684
5158,Tapira,31,-19.9166,-46.8264
5159,Tapiraí,31,-19.8936,-46.0221
5160,Tapiraí,35,-23.9612,-47.5062
5161,Tapiramutá,29,-11.8475,-40.7927
5162,Tapiratiba,35,-21.4713,-46.7448
5163,Tapurah,51,-12.695,-56.5178
5164,Taquara,43,-29.6505,-50.7753
5165,Taquaraçu de Minas,31,-19.6652,-43.6922
5166,Taquaral,35,-21.0737,-48.4126
5167,Taquaral de Goiás,52,-16.0521,-49.6039
5168,Taquarana,27,-9.64529,-36.4928
5169,Taquari,43,-29.7943,-51.8653
5170,Taquaritinga,35,-21.4049,-48.5103
5171,Taquaritinga do Norte,26,-7.89446,-36.0423
5172,Taquarituba,35,-23.5307,-49.241
5173,Taquarivaí,35,-23.9211,-48.6948
5174,Taquaruçu do Sul,43,-27.4005,-53.4702
5175,Taquarussu,50,-22.4898,-53.3519
5176,Tarabai,35,-22.3016,-51.5621
5177,Tarauacá,12,-8.15697,-70.7722
5178,Tarrafas,23,-6.67838,-39.753
5179,Tartarugalzinho,16,1.50652,-50.9087
5180,Tarumã,35,-22.7429,-50.5786
5181,Tarumirim,31,-19.2835,-42.0097
5182,Tasso Fragoso,21,-8.4662,-45.7536
5183,Tatuí,35,-23.3487,-47.8461
5184,Tauá,23,-5.98585,-40.2968
5185,Taubaté,35,-23.0104,-45.5593
5186,Tavares,43,-31.2843,-51.088
5187,Tavares,25,-7.62697,-37.8712
5188,Tefé,13,-3.36822,-64.7193
5189,Teixeira,25,-7.22104,-37.2525
5190,Teixeira de Freitas,29,-17.5399,-39.74
5191,Teixeira Soares,41,-25.3701,-50.4571
5192,Teixeiras,31,-20.6561,-42.8564
5193,Teixeirópolis,11,-10.9056,-62.242
5194,Tejuçuoca,23,-3.98831,-39.5799
5195,Tejupá,35,-23.3425,-49.3722
5196,Telêmaco Borba,41,-24.3245,-50.6176
5197,Telha,28,-10.2064,-36.8818
5198,Tenente Ananias,24,-6.45823,-38.182
5199,Tenente Laurentino Cruz,24,-6.1378,-36.7135
5200,Tenente Portela,43,-27.3711,-53.7585
5201,Tenório,25,-6.93855,-36.6273
5202,Teodoro Sampaio,29,-12.295,-38.6347
5203,Teodoro Sampaio,35,-22.5299,-52.1682
5204,Teofilândia,29,-11.4827,-38.9913
5205,Teófilo Otoni,31,-17.8595,-41.5087
5206,Teolândia,29,-13.5896,-39.484
5207,Teotônio Vilela,27,-9.91656,-36.3492
5208,Terenos,50,-20.4378,-54.8647
5209,Teresina,22,-5.09194,-42.8034
5210,Teresina de Goiás,52,-13.7801,-47.2659
5211,Teresópolis,33,-22.4165,-42.9752
5212,Terezinha,26,-9.05621,-36.6272
5213,Terezópolis de Goiás,52,-16.3945,-49.0797
5214,Terra Alta,15,-1.02963,-47.9004
5215,Terra Boa,41,-23.7683,-52.447
5216,Terra de Areia,43,-29.5782,-50.0644
5217,Terra Nova,29,-12.3888,-38.6238
5218,Terra Nova,26,-8.22244,-39.3825
5219,Terra Nova do Norte,51,-10.517,-55.231
5220,Terra Rica,41,-22.7111,-52.6188
5221,Terra Roxa,41,-24.1575,-54.0988
5222,Terra Roxa,35,-20.787,-48.3314
5223,Terra Santa,15,-2.10443,-56.4877
5224,Tesouro,51,-16.0809,-53.559
5225,Teutônia,43,-29.4482,-51.8044
5226,Theobroma,11,-10.2483,-62.3538
5227,Tianguá,23,-3.72965,-40.9923
5228,Tibagi,41,-24.5153,-50.4176
5229,Tibau,24,-4.83729,-37.2554
5230,Tibau do Sul,24,-6.19176,-35.0866
5231,Tietê,35,-23.1101,-47.7164
5232,Tigrinhos,42,-26.6876,-53.1545
5233,Tijucas,42,-27.2354,-48.6322
5234,Tijucas do Sul,41,-25.9311,-49.195
5235,Timbaúba,26,-7.50484,-35.3119
5236,Timbaúba dos Batistas,24,-6.45768,-37.2745
5237,Timbé do Sul,42,-28.8287,-49.842
5238,Timbiras,21,-4.25597,-43.932
5239,Timbó,42,-26.8246,-49.269
5240,Timbó Grande,42,-26.6127,-50.6607
5241,Timburi,35,-23.2057,-49.6096
5242,Timon,21,-5.09769,-42.8329
5243,Timóteo,31,-19.5811,-42.6471
5244,Tio Hugo,43,-28.5712,-52.5955
5245,Tiradentes,31,-21.1102,-44.1744
5246,Tiradentes do Sul,43,-27.4022,-54.0814
5247,Tiros,31,-19.0037,-45.9626
5248,Tobias Barreto,28,-11.1798,-37.9995
5249,Tocantínia,17,-9.5632,-48.3741
5250,Tocantinópolis,17,-6.32447,-47.4224
5251,Tocantins,31,-21.1774,-43.0127
5252,Tocos do Moji,31,-22.3698,-46.0971
5253,Toledo,31,-22.7421,-46.3728
5254,Toledo,41,-24.7246,-53.7412
5255,Tomar do Geru,28,-11.3694,-37.8433
5256,Tomazina,41,-23.7796,-49.9499
5257,Tombos,31,-20.9086,-42.0228
5258,Tomé-Açu,15,-2.41302,-48.1415
5259,Tonantins,13,-2.86582,-67.7919
5260,Toritama,26,-8.00955,-36.0637
5261,Torixoréu,51,-16.2006,-52.5571
5262,Toropi,43,-29.4782,-54.2244
5263,Torre de Pedra,35,-23.2462,-48.1955
5264,Torres,43,-29.3334,-49.7333
5265,Torrinha,35,-22.4237,-48.1731
5266,Touros,24,-5.20182,-35.4621
5267,Trabiju,35,-22.0388,-48.3342
5268,Tracuateua,15,-1.07653,-46.9031
5269,Tracunhaém,26,-7.80228,-35.2314
5270,Traipu,27,-9.96262,-37.0071
5271,Trairão,15,-4.57347,-55.9429
5272,Trairi,23,-3.26932,-39.2681
5273,Trajano de Moraes,33,-22.0638,-42.0643
5274,Tramandaí,43,-29.9841,-50.1322
5275,Travesseiro,43,-29.2977,-52.0532
5276,Tremedal,29,-14.9736,-41.4142
5277,Tremembé,35,-22.9571,-45.5475
5278,Três Arroios,43,-27.5003,-52.1448
5279,Três Barras,42,-26.1056,-50.3197
5280,Três Barras do Paraná,41,-25.4185,-53.1833
5281,Três Cachoeiras,43,-29.4487,-49.9275
5282,Três Corações,31,-21.6921,-45.2511
5283,Três Coroas,43,-29.5137,-50.7739
5284,Três de Maio,43,-27.78,-54.2357
5285,Três Forquilhas,43,-29.5384,-50.0708
5286,Três Fronteiras,35,-20.2344,-50.8905
5287,Três Lagoas,50,-20.7849,-51.7007
5288,Três Marias,31,-18.2048,-45.2473
5289,Três Palmeiras,43,-27.6139,-52.8437
5290,Três Passos,43,-27.4555,-53.9296
5291,Três Pontas,31,-21.3694,-45.5109
5292,Três Ranchos,52,-18.3539,-47.776
