precipitação,pressão,pressão máxima,pressão mínima,radiação global,temperatura BS,temperatura PO,temperatura máxima,temperatura mínima,temperatura PO máxima,temperatura PO mínima,umidade relativa máxima,umidade relativa mínima,umidade relativa ,direção do vento,vento rajada máxima,velocidade do vento,ocorrências,município
0.32873795124956273,926.8292744921235,927.0784740184974,926.5821705896315,1218.6479092825134,21.343435782817906,17.545782525641346,21.902856333998198,20.824637964134073,18.073827084998918,17.021135283871065,82.96758862818241,77.59548305642495,80.41770251712823,170.79612970001216,4.2449818632554495,1.419432983665177,0,São José dos Campos
0.6539373199190691,927.588027869886,927.8455360551428,927.3234253370546,1207.4441362827147,22.102190500785486,18.471392584264848,22.671177344270582,21.582842669597692,19.001399293272023,17.95711873687752,83.62342418933008,78.1352460722269,81.03269535280528,,,,0,São José dos Campos
0.23260809169416946,928.9671869741919,929.2092927916261,928.7290456508501,1369.6374136428053,21.6620968706921,17.370692558124908,22.281418030699705,21.08445115647035,17.96318412530469,16.773945607571747,80.91320824725818,74.80626912349818,77.99106228456837,,,,2,São José dos Campos
0.1790226779459507,928.7301477224065,928.9518011416512,928.5068653113763,1194.8071436083073,19.370256048886798,15.502371440073581,19.91842155570855,18.844612832362127,16.03210363259971,14.972067452311675,82.39707751456734,77.18303697602536,79.89788966061573,,,,0,São José dos Campos
0.1687184896520171,931.4114112046865,931.622200676672,931.1919636348513,1186.5015697066722,17.129824603524344,12.893402921914536,17.821827468663848,16.501096961015,13.53834832926013,12.288139332780123,81.29336057245392,75.7252853153398,78.62618009761333,,,,0,São José dos Campos
0.07663208334290011,932.8870305747536,933.0914434784838,932.6760287095244,1096.037463899579,15.708615535811486,11.613487461838929,16.41283982181836,15.012633020342019,12.27752804904772,10.927709623939021,82.00528386285528,76.3656367102629,79.30105077598863,,,,0,São José dos Campos
0.047865874203005025,933.0467353335976,933.2654479665098,932.8241451044513,1107.2868950036957,16.19768242254758,11.450145579711013,16.889138307886274,15.530581174231529,12.09546607191388,10.803960154346722,79.36821167317014,73.70717069394284,76.61071729577972,,,,0,São José dos Campos
0.1287831282667609,930.7935820448818,931.0557764325082,930.5345851656317,1174.2676003830775,17.876519793730065,12.637939214203676,18.591719844126924,17.19348478094455,13.26741330704873,12.011317760486333,78.98100046523118,73.21081776155341,76.16208052688062,,,,0,São José dos Campos
0.12899712213609174,929.5497350660081,929.8087799057117,929.2982392129253,1399.05060765894,20.746397768229194,15.076728149032846,21.470676087615566,20.059891406466747,15.723546773298844,14.448040038913998,76.9155703703814,70.75244100570812,73.92450640799653,,,,0,São José dos Campos
0.4741942544081397,927.6615518493069,927.9689608744507,927.3612456353702,1048.4440686461062,20.78596543263108,17.466064749702984,21.30331105971501,20.306190017163186,17.929119250782232,17.019855556611237,85.11277346869994,80.75489164499585,83.02790683664189,,,,0,São José dos Campos
0.23523264656146944,926.9931551846665,927.2652359958778,926.7212169977096,1361.5154598763277,22.147240540934686,17.042040077633843,22.799467994419437,21.558456246088195,17.701632220620034,16.423486946200885,79.31023714509492,73.19440020732652,76.32444054343446,164.245417696749,4.365565204966285,1.5280215916388353,0,São José dos Campos
0.1839780564747418,927.1470304359885,927.4010368711706,926.8913921745499,1560.3543408088085,22.60890028459109,17.705970159708908,23.309724536640775,21.97129799612544,18.347462584604177,17.06753576278662,79.59747080841599,73.15202550892752,76.55391491318576,164.65002417862013,4.4478329479136605,1.5873045483404344,0,São José dos Campos
0.6585084353012125,905.3649917498597,905.616506079048,905.1119002805439,994.4697065623012,21.436425594161307,17.433425943338058,22.133888254993032,20.81369224557661,18.04044156675059,16.896663332017546,81.98574568685775,76.65045110948955,79.43096136820816,148.82904368598471,5.411535464282486,2.1585659860569395,0,Belo Horizonte
0.18454013770295546,906.0829159891227,906.3425586593145,905.8120223521707,1286.1522041338812,23.289908011755866,16.67846305310427,24.096163115813113,22.542326835866124,17.367334752593276,16.04178352392769,71.36210719633522,64.62555713264686,68.0718597740191,123.89217434952874,5.866195346049919,2.5317093457971858,0,Belo Horizonte
0.08760025272001012,906.7643963669635,906.9964187550925,906.5306413260442,1327.0891691955608,23.34812010475411,15.658190672404471,24.120295177814537,22.605431129155328,16.298206307145573,15.020185523523015,67.05607180358359,60.52965641421429,63.82808941283499,106.11373478284698,6.2247497865745585,2.834692253392022,1,Belo Horizonte
0.10541709645097996,906.0727497082129,906.3097101889241,905.8274354827296,1064.4194889349023,21.327707425786567,15.53782522443342,22.038660192461396,20.677920773227704,16.099545418798076,14.99773529019934,74.03583652265274,68.29150521466205,71.2748549633392,146.31368207046427,6.277019081681045,2.9286382778129014,1,Belo Horizonte
0.0048314454688366815,908.4494376076182,908.6708879960865,908.2218148751188,1041.9473505060341,19.342952765018268,12.305749768454513,20.080271715933584,18.597901303277848,12.905218910369944,11.715783332884323,69.09400045023398,63.00591902412667,66.02698800431472,136.20173337223346,5.696498307621791,2.7927730954096903,2,Belo Horizonte
0.005541015274946058,910.4514220683543,910.6533289530969,910.2426708391089,992.8611191577663,18.14286946064111,10.743788013237554,18.884788516722626,17.427420007747703,11.319958502280393,10.195072091567045,67.39346547241468,61.68729688580579,64.52595800001491,129.07336832262166,5.050068452635374,2.461960710421623,1,Belo Horizonte
0.003969095193925977,910.4652601391622,910.6739199197945,910.2578747262314,1012.8682072455167,18.86988644230832,10.404089545544531,19.59723554238248,18.160760934943138,10.896467209596025,9.888243165422637,63.34754906884236,57.98430396592716,60.706710628989434,134.22468352446037,5.939557159008118,2.8283036631620018,0,Belo Horizonte
